,Access Number,starttime,endtime,toptime,Duration,To Pass Number,Fac_name,Sen_name,Sat_name,UpDown
0,1,1668254554.0,1668254812.0,1668254683.0,257.95711093935097,4,fac0,sen0,sat0,0
1,1,1668251448.0,1668251758.0,1668251603.0,310.93757216901395,3,fac0,sen0,sat1,0
2,2,1668304131.0,1668304472.0,1668304301.5,341.36077565672895,12,fac0,sen0,sat1,1
3,1,1668245366.0,1668245496.0,1668245431.0,130.28812434830252,2,fac0,sen0,sat2,0
4,2,1668291713.0,1668292047.0,1668291880.0,333.44727211332065,10,fac0,sen0,sat2,1
5,1,1668254939.0,1668255364.0,1668255151.5,425.32862964753076,3,fac0,sen0,sat3,0
6,2,1668304107.0,1668304556.0,1668304331.5,449.0308918994706,11,fac0,sen0,sat3,1
7,1,1668248555.0,1668248837.0,1668248696.0,282.6815120889678,3,fac0,sen0,sat4,0
8,2,1668301147.0,1668301393.0,1668301270.0,246.3681266146814,12,fac0,sen0,sat4,1
9,1,1668272697.0,1668273067.0,1668272882.0,369.54686675825724,6,fac0,sen0,sat5,0
10,2,1668320185.0,1668320369.0,1668320277.0,184.42951503640506,14,fac0,sen0,sat5,1
11,1,1668261402.0,1668261756.0,1668261579.0,353.93768524063125,5,fac0,sen0,sat6,1
12,2,1668293823.0,1668294107.0,1668293965.0,283.7305581577675,10,fac0,sen0,sat6,0
13,1,1668257899.0,1668258041.0,1668257970.0,141.44384142115086,4,fac0,sen0,sat7,1
14,2,1668289636.0,1668289788.0,1668289712.0,152.3327380529663,9,fac0,sen0,sat7,0
15,1,1668263662.0,1668263854.0,1668263758.0,191.17000182515767,5,fac0,sen0,sat8,0
16,2,1668316952.0,1668317316.0,1668317134.0,363.6149806584872,14,fac0,sen0,sat8,1
17,1,1668284874.0,1668285158.0,1668285016.0,284.03487902737106,9,fac0,sen0,sat9,1
18,2,1668323755.0,1668324121.0,1668323938.0,365.8012212830363,15,fac0,sen0,sat9,0
19,1,1668264452.0,1668264649.0,1668264550.5,196.5219663798307,5,fac0,sen0,sat10,0
20,1,1668278050.0,1668278479.0,1668278264.5,428.5320961142861,7,fac0,sen0,sat11,0
21,2,1668320863.0,1668321279.0,1668321071.0,415.8117683757009,14,fac0,sen0,sat11,1
22,1,1668267862.0,1668268132.0,1668267997.0,269.51776628642983,6,fac0,sen0,sat12,0
23,2,1668313615.0,1668313876.0,1668313745.5,261.17703892210557,14,fac0,sen0,sat12,1
24,1,1668255482.0,1668255793.0,1668255637.5,311.50636496196057,4,fac0,sen0,sat13,1
25,2,1668293353.0,1668293604.0,1668293478.5,251.20313263986463,10,fac0,sen0,sat13,0
26,1,1668245619.0,1668245813.0,1668245716.0,193.5506866574642,2,fac0,sen0,sat14,1
27,2,1668284144.0,1668284485.0,1668284314.5,340.9831812555494,8,fac0,sen0,sat14,0
28,1,1668256113.0,1668256510.0,1668256311.5,396.2198032366541,4,fac0,sen0,sat15,0
